price,neighborhood_name,administritive_area,city,rooms,bathrooms,sqm,elevator,bool,driver,garden
650000.0,Badr,Riyadh, South Riyadh,3,4,432.0,0,0,0,0
950000.0,Dirab,Riyadh, South Riyadh,4,6,250.0,0,0,0,0
2300000.0,An Narjis,Riyadh, North Riyadh,6,5,312.0,1,0,0,1
1400000.0,Az Zomorod,Makkah, Jeddah,3,6,312.0,1,0,0,0
2900000.0,Al Masarah,Makkah, Jeddah,5,5,330.0,0,0,0,0
1050000.0,Al Maizilah,Riyadh, East Riyadh,4,4,200.0,0,0,0,0
1550000.0,As Sahafah,Riyadh, North Riyadh,5,7,325.0,0,0,0,0
950000.0,Al Hazm,Riyadh, South Riyadh,4,5,250.0,0,0,0,0
3300000.0,Al Basatin,Makkah, Jeddah,6,6,280.0,0,0,0,0
1260000.0,Al Maizilah,Riyadh, East Riyadh,5,5,275.0,0,0,0,0
950000.0,Al Ghoroub,Riyadh, West Riyadh,4,5,360.0,0,0,0,0
1500000.0,Az Zomorod,Makkah, Jeddah,6,7,312.0,1,0,1,0
1100000.0,Al Ghoroub,Riyadh, West Riyadh,3,5,405.0,0,0,0,0
1200000.0,Az Zomorod,Makkah, Jeddah,6,6,312.0,0,1,0,0
1750000.0,Al Qirawan,Riyadh, North Riyadh,4,7,300.0,0,0,0,0
3700000.0,Ash Shati,Makkah, Jeddah,4,4,403.0,0,0,0,0
1700000.0,Al Yaqoot,Makkah, Jeddah,6,6,312.0,1,1,1,0
1250000.0,Ar Rimal,Riyadh, East Riyadh,5,4,300.0,0,0,0,0
1050000.0,Ad Dar Al Baida,Riyadh, South Riyadh,3,3,360.0,0,0,0,0
1250000.0,Al Yaqoot,Makkah, Jeddah,6,5,250.0,0,0,0,0
1100000.0,Badr,Riyadh, South Riyadh,4,5,360.0,0,0,0,0
1050000.0,Dhahrat Laban,Riyadh, West Riyadh,6,5,200.0,0,0,0,0
2025000.0,Al Munsiyah,Riyadh, East Riyadh,5,5,387.0,0,0,0,0
2550000.0,An Narjis,Riyadh, North Riyadh,7,5,360.0,1,1,1,0
1600000.0,Al Faiha,Makkah, Jeddah,3,3,170.0,0,1,1,0
950000.0,Dhahrat Laban,Riyadh, West Riyadh,5,5,200.0,0,0,0,0
1700000.0,Al Munsiyah,Riyadh, East Riyadh,3,4,315.0,1,0,0,0
920000.0,Badr,Riyadh, South Riyadh,4,6,250.0,0,0,0,0
1050000.0,Al Munsiyah,Riyadh, East Riyadh,4,3,250.0,0,0,1,0
1200000.0,King Faisal,Riyadh, East Riyadh,5,3,500.0,0,0,0,0
1280000.0,Ar Rimal,Riyadh, East Riyadh,5,5,309.0,0,0,0,0
1000000.0,Ar Rimal,Riyadh, East Riyadh,5,5,250.0,0,0,0,0
1170000.0,Al Ghoroub,Riyadh, West Riyadh,5,5,412.0,0,0,0,0
1500000.0,Ar Rimal,Riyadh, East Riyadh,5,7,388.0,0,0,0,0
1000000.0,Ar Rimal,Riyadh, East Riyadh,4,5,250.0,0,0,0,0
880000.0,Al Hazm,Riyadh, South Riyadh,6,6,250.0,0,0,0,0
1050000.0,Ad Dar Al Baida,Riyadh, South Riyadh,3,4,360.0,0,0,0,0
1180000.0,As Salhiyah,Makkah, Jeddah,4,5,300.0,0,0,0,0
